speaking,formal,clever,helpful,creative,target
1.4842197137740059,1.5502795572743873,1.6202859016142428,1.6871222001287102,1.5188321597078849,0
0.7020777261782132,0.5549697251727276,0.565459779975682,-0.607089364306261,-0.758949282009455,1
-0.024911417600373,-0.15603275248694004,-0.33082519054559583,0.2006991175571747527,0.121005912607935606,2
-0.124911417600373,-0.15603275248694004,-0.33082519054559583,0.2006991175571747527,0.421005912607935606,2
-0.124911417600373,-0.15603275248694004,-0.33082519054559583,0.2006991175571747527,0.321005912607935606,2
-0.124911417600373,-0.15603275248694004,-0.33082519054559583,0.2006991175571747527,0.421005912607935606,2
0.7020777261782132,0.5549697251727276,0.565459779975682,-0.607089364306261,-0.758949282009455,1
0.7020777261782132,0.5549697251727276,0.565459779975682,-0.607089364306261,-0.758949282009455,1
0.7020777261782132,0.5549697251727276,0.565459779975682,-0.607089364306261,-0.758949282009455,1
0.7020777261782132,0.5549697251727276,0.565459779975682,-0.607089364306261,-0.758949282009455,1
0.7020777261782132,0.5549697251727276,0.565459779975682,-0.607089364306261,-0.758949282009455,1